SKILL_20150317_000001	Attaque	공격				
SKILL_20150317_000002	[Kepa d'élite] Attaque 1 fois, Physique,{nl}propriété Poison, Frappe	[엘리트케파] 1회, 물리, 독속성, 떄리기				
SKILL_20150317_000003	[Rafflesia] Diffusion de Poison	[라플레시아] 주변으로 독 날리기				
SKILL_20150317_000004	[Rafflesia] Bombe de Poison	[라플레시아] 독 포탄 날리기				
SKILL_20150317_000005	[Raffly] Physique, Frappe, propriété Poison,{nl}attaque 1 fois	[라플리] 물리, 타격, 독속성, 1회 공격				
SKILL_20150317_000006	[Raffly] Physique, Frappe, propriété Poison,{nl}Attaque sautée 1 fois	[라플리] 물리, 타격, 독속성, 1회 점프해서 덮치는 공격				
SKILL_20150317_000007	[Puragi] Physique, Frappe, propriété Poison,{nl}Attaque normale 1 fois	[푸라기] 물리, 떄리기, 독속성, 1회 일반 공격, 전방 부채꼴				
SKILL_20150317_000008	[Puragi] Physique, Frappe, propriété Poison,{nl}attaque 1 fois	[푸라기] 물리, 타격, 독속성, 1회 공격				
SKILL_20150317_000009	[Puragi] Physique, Frappe, propriété Poison,{nl}Piétinement 1 fois	[푸라기] 물리, 타격, 독속성, 1회 내려치기				
SKILL_20150317_000010	[Zigri] Attaque Normale, Zone d'Effet{nl}Conique	[지그리] 일반 공격, 전방 부채꼴				
SKILL_20150317_000011	[Zigri] Frappe Tournoyante	[지그리] 회전공격 가하기				
SKILL_20150317_000012	[Zigri] Saut et Onde de Piétinement	[지그리] 점프해서 충격파 보내기				
SKILL_20150317_000013	[Pêcheur] Physique, Frappe, propriété Glace,{nl}Frappe avec canne à pêche	[피셔맨] 물리, 타격, 수속성, 1회 낚시대로 내려치기				
SKILL_20150317_000014	[Pêcheur] Magie, Buff, Magie, Skill de Buff	[피셔맨] 매직, 버프, 매직, ] 버프 스킬				
SKILL_20150317_000015	[Pokuborn vert] Physique, Percée, propriété{nl}Foudre, Attaque de corne 1 fois	[초록 포쿠본] 물리, 찌르기, 뇌속성, 1회 뿔로 들이받기				
SKILL_20150317_000016	[Bushspider] Physique, Frappe, propriété{nl}Terre, attaque 1 fois	[크루마보] 물리, 타격, 땅속성, 1회 공격				
SKILL_20150317_000017	[Fragaras] Morsure rapide	[프라가라스] 빠르게 물어뜯기				
SKILL_20150317_000018	[Fragaras] Grosse Morsure	[프라가라스] 크게 물어뜯기				
SKILL_20150317_000019	[Fragaras] Attaque Normale, Zone d'Effet{nl}Conique	[프라가라스] 일반 공격, 전방 부채꼴				
SKILL_20150317_000020	Attaque Normale de Base	베이직 일반 공격				
SKILL_20150317_000021	[Meduja] Magie, Magie, attaque de propriété{nl}Foudre 1 fois	[미듀쟈] 매직, 매직, 뇌속성 1회 공격				
SKILL_20150317_000022	[Gribaru] Physique, Taille, attaque de{nl}propriété Foudre 1 fois	[그리바루] 물리, 베기, 뇌속성 1회 공격				
SKILL_20150317_000023	[Gribaru] Physique, Taille, attaque avec recul{nl}de propriété Foudre 1 fois	[그리바루] 물리, 베기, 뇌속성 1회 넉백 공격	SKILL_20150317_000020	Attaque Normale de Base	베이직 일반 공격	
SKILL_20150317_000024	[Bite] Physique, Percée, attaque de propriété{nl}Poison 1 fois	[바이트] 물리, 찌르기, 독속성 1회 공격				
SKILL_20150317_000025	[Banshee] Magie, Magie, propriété Glace,{nl}Attaque de souffle 1 fois	[밴시] 매직, 매직, 얼음속성, 1회 입김으로 타격	SKILL_20150317_000020	Attaque Normale de Base	베이직 일반 공격	
SKILL_20150317_000026	[Banshee] Magie, Magie, Propriété Glace,{nl}Pique de Glace	[밴시] 매직, 매직, 얼음속성, 아이스파이크	SKILL_20150317_000020	Attaque Normale de Base	베이직 일반 공격	
SKILL_20150317_000027	[Mini Griba] Physique, Frappe, propriété{nl}Foudre, Frappe à deux mains 1 fois	[미니그리바] 물리, 타격, 뇌속성, 1회 양손으로 치기	SKILL_20150317_000020	Attaque Normale de Base	베이직 일반 공격	
