QUEST_LV_0400_20161005_000001	Marchande Alta de l'Alliance de Kedora	케도라 상단원 알타				
QUEST_LV_0400_20161005_000002	Je suis venu ici parce que j'étais inquiet, mais je n'oserai pas y entrer seul. Voilà pourquoi je vous{nl}le demande.	걱정이 돼서 와 봤지만 혼자서는 저 안으로 들어갈 엄두가 안나는구먼.{nl}그러니 이렇게 자네에게 부탁하는 걸세.				케도라 상단원 알타
QUEST_LV_0400_20161005_000003	Je ne peux pas m'aventurer dans des endroits pareils, vous savez. Il y a des monstres qui{nl}traînent là...	안에 뭐가 있을 지 어떻게 알고 들어가겠나.{nl}뻔히 저렇게 몬스터들이 있기도 하고..				케도라 상단원 알타
QUEST_LV_0400_20161005_000004	Il y a des rumeurs sur la légende d'Alembique parmi les réfugiés. Je voulais connaître la vérité.	피난민들 사이에서 알렘빅 전설이라는 것이 돌고 있더라고.{nl}그 실체를 확인하고 싶었지.				케도라 상단원 알타
QUEST_LV_0400_20161005_000005	{nl}Il y a peut-être des produits que l'Alliance recherche... Puisque vous alliez de toute façon{nl}explorer la grotte, ce serait profitable pour nous deux si vous pouviez aussi retrouver les{nl}Mercenaires de Gigho.	{nl}상단에서 찾는 물건이 있을지도 모르고..{nl}자네도 이 동굴을 탐험할 거였으면 겸사겸사 기고 용병단을 찾아주면 서로 좋은 일 아닌가.				케도라 상단원 알타
QUEST_LV_0400_20161005_000006	{nl}Je vous donnerai ce livre en paiement. Ce sera mieux que d'y aller à l'aveuglette, non ?	{nl}대신 이 책을 주겠네.{nl}아무 것도 모르고 들어가는 것 보다는 조금이나마 도움이 될테니 말이야.				케도라 상단원 알타
QUEST_LV_0400_20161005_000007	Le prêtre Lintas corrige le contenu du monument. Le processus prend un certain temps.	사제 린타스가 기념비의 내용을 수정 중이다.{nl}꽤 작업이 길어지고 있다.				사제 린타스
QUEST_LV_0400_20161005_000008	Grâce à vous, le monument a été corrigé. Nous devons prendre des nouvelles du prêtre Kidas et{nl}de Brunas.	덕분에 기념비를 수정했습니다.{nl}사제 키다스와 브루나스의 진행 상황을 알아봐야겠습니다.				사제 린타스
QUEST_LV_0400_20161005_000009	Même avec de l'aide, aucune fléchette n'est en vue. Je devrais retourner voir mon maître après{nl}avoir un peu remis de l'ordre ici.	도움을 받아도 플레세트는 못 찾았어요.{nl}일단 여기 일을 좀 정리해서 스승님께 돌아갈 겁니다.				우그니스
QUEST_LV_0400_20161005_000010	Aquilas	아퀼라스				
QUEST_LV_0400_20161005_000011	Je suis venu ici pour apprendre le tir à l'arc mais je ne fais que des courses à chercher cette{nl}maudite flèche... Si j'avais su que je devrais chercher des flèches. Je n'aurais pas entrepris ce{nl}voyage...{nl}	궁술을 배우려고 여기까지 따라왔건만 알려주는 건 별거 없고 화살을 찾으라니..{nl}화살 찾으러 다닌다는 사실만 알았어도 이런 고생길에 나서진 않았을 거야.. {nl}				아퀼라스
QUEST_LV_0400_20161005_000012	Enfin, tout cela est à cause de Lydia Schaffen. Elle aurait dû emporter sa fléchette ou je ne sais{nl}quoi si elle s'en était servie pour tuer Ziburynas !	리디아 샤펜도 그렇지. {nl}플레세트인지 뭔지로 지부리나스를 죽였으면 화살을 수거해 가야지 그냥 두고가?				아퀼라스
QUEST_LV_0400_20161005_000013	{nl}Peu importe qu'elle soit une personne légendaire. Elle ne sait pas prendre soin de ses affaires.	{nl}전설적인 사람이라고 추앙 받으면 뭐해.{nl}자기 물건도 소중히 안 다루는걸.				아퀼라스
QUEST_LV_0400_20161005_000014	{nl}Je ne comprends pas mon maître. Je ne vois pas comment je peux être pardonné si je trouve{nl}cette fléchette ou je ne sais quoi.	{nl}스승님도 참 이해 안돼.{nl}플레세트인지 뭔지를 찾으면 용서를 구할 수는 있는 거야?				아퀼라스
QUEST_LV_0400_20161005_000015	{nl}Même si j'admets tant bien que mal que c'est important... je ne comprends pas en quoi faire un{nl}rapport sur la végétation est censé être important. Pff... Ce n'est pas mon genre de travail.	{nl}백 번 양보해도.. 찾으려는 화살은 안 찾고 식생이나 보고하라는 건 정말 이해가 안돼.{nl}으… 하기 싫어.				아퀼라스
QUEST_LV_0400_20161005_000016	Je vous serais vraiment reconnaissant de m'offrir n'importe quelle aide. Tout d'abord,{nl}pourriez-vous me rapporter de la Fougère coquelicot, de la Herbe Aily et des Fleurs de Pria.	도와준다면야 나야 좋지.{nl}일단 포피 고사리와 아일리 풀, 프리아 꽃잎을 모아줘.				아퀼라스
QUEST_LV_0400_20161005_000017	{nl}Quel rapport ont-ils avec la flèche légendaire ? Je n'en ai aucune idée non plus.	{nl}이게 전설의 화살이랑 무슨 상관이냐고?{nl}그건 나도 정말 궁금해.				아퀼라스
QUEST_LV_0400_20161005_000018	Stupide fléchette ou quel que soit son nom...	플레세트인지 뭔지 참 내..				아퀼라스
QUEST_LV_0400_20161005_000019	Mechen	메켄				
QUEST_LV_0400_20161005_000020	Je pensais qu'Aquilas était venu faire son rapport... Cet endroit est dangereux à cause de tous les{nl}monstres et démons.	아퀼라스가 보고하러 온 줄 알았는데…{nl}이곳은 몬스터들 뿐만 아니라 마족들도 돌아다녀서 위험한 곳입니다.				메켄
QUEST_LV_0400_20161005_000021	{nl}Que diriez-vous de partir si vous n'avez rien d'important à faire.	{nl}별 일이 없다면 어서 떠나시는 것이..				메켄
QUEST_LV_0400_20161005_000022	{nl}Oh ? Ah, vous êtes un Révélateur.	{nl}아..?{nl}오, 계시자님이시군요.				메켄
QUEST_LV_0400_20161005_000023	{nl}Il semble que vous soyez curieux de savoir ce que mes apprentis et moi faisons ici. Avez-vous eu{nl}des nouvelles d'Aquilas ?	{nl}저와 제자들이 여기서 무엇을 하고 있는지 궁금하신 듯 합니다.{nl}아퀼라스에게서 혹시 들으신 것이 있으신지..				메켄
QUEST_LV_0400_20161005_000024	{nl}Oh, je suis un membre de la Tour astrale et le frère de l'ancien chef. J'ai commis une grosse{nl}erreur pendant qu'Ignas tentait de prendre le contrôle de la Tour astrale.	{nl}아, 전 별의 탑 단원이자 별의 탑 전 단장의 친동생입니다.{nl}이그나스가 별의 탑을 장악하는 과정에서 실수를 저지르고 말았지요.				메켄
QUEST_LV_0400_20161005_000025	{nl}Ignas n'a pas laissé passer l'occasion et a pris le contrôle de la Tour astrale. Bien sûr, les autres{nl}membres ne me regardent pas d'un très bon œil.	{nl}그리고 제 실수를 놓치지 않은 이그나스는 별의 탑을 장악하게 되었습니다.{nl}당연히 별의 탑 단원들은 저를 좋지 않게 보게 됐습니다.				메켄
QUEST_LV_0400_20161005_000026	{nl}J'ai beau leur dire que c'était une erreur, ils refusent d'écouter.	{nl}고의가 아니었음을 이야기 해도 단원들은 들어주지 않았고 모두 제게 등을 돌렸습니다.				메켄
QUEST_LV_0400_20161005_000027	{nl}Voilà pourquoi j'ai décidé de tenter de trouver la fléchette de Lydia Schaffen pour réparer mes{nl}torts.	{nl}제 실수를 만회할 수 있는 방법을 찾다가.. {nl}리디아 샤펜의 전승 중 하나인 플레세트를 찾기로 결심했습니다.				메켄
QUEST_LV_0400_20161005_000028	{nl}Ils feront au moins semblant d'écouter si je rapporte la fléchette. Je suis venu ici car je suis{nl}presque certain que sa fléchette doit se trouver dans la Forêt de Ziburynas.	{nl}플레세트를 찾아 가면 단원들도 제 이야기를 들어줄 것이니까요.{nl}여러 가지 조사 끝에.. 지부리나스 숲에 플레세트가 있을 가능성이 높다고 판단했습니다.				메켄
QUEST_LV_0400_20161005_000029	{nl}Mes apprentis et moi tentons de trouver la fléchette mais sans aucun progrès.	{nl}그래서 제자들을 데리고 플레세트를 찾고 있지만 별다른 진척이 없군요.				메켄
QUEST_LV_0400_20161005_000030	Je vois que vous avez tout rassemblé. Merci.	모아왔구나.{nl}고마워.				아퀼라스
