QUEST_LV_0100_20150317_000001	Sentinelle	경계병				
QUEST_LV_0100_20150317_000002	Si vous choisissez d'aller à Klaipeda, je recommande de prendre la Route de la forêt d'ombre. Les{nl}bois profonds sont dangereux, essayez donc de vous en tenir à l'écart si vous le pouvez.	클라페다로 가려면 곧장 그늘 숲 가도로 가는 게 좋습니다.{nl}숲의 깊은 곳은 위험하니 왠만하면 자제하시고요.				경계병
QUEST_LV_0100_20150317_000003	Homme Caché	숨어있는 남자				
QUEST_LV_0100_20150317_000004	E-Enfin... ! De l'aide est-elle arrivée ? Hein ?! Ce n'est qu'un gamin ? Hé... Y a-t-il encore des{nl}Vubbes dehors ?	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 이봐. 밖에 아직도 부베가 있나?				숨어있는 남자
QUEST_LV_0100_20150317_000005	Ugh. Allez-vous-en ! Ne me parlez pas ! Les Vubbes vont nous repérer ! C'est ma place, alors{nl}partez !	으윽.. 저리 가! 말 걸지 마! 부베한테 들킨단 말이야!{nl}여긴 내 자리니까 썩 꺼져!				숨어있는 남자
QUEST_LV_0100_20150317_000006	Quoi ? Ne me mentez pas ! Je sens les Vubbes d'ici. On ne trompe pas un adulte ! Allez-vous-en !{nl}N'approchez pas de ce tonneau !	뭐? 거짓말하지 마! 부베놈들 악취가 아직도 코를 찌르는구먼. 무슨!!{nl}어른을 놀리면 못써! 저리 가! 이 나무통 근처로 얼씬도 하지 마!				숨어있는 남자
QUEST_LV_0100_20150317_000007	E-Enfin... ! Les secours sont-ils arrivés ? Hein ?! Ce n'est qu'un gamin ? Qu'est-ce que vous{nl}regardez ? Refermez le couvercle et passez votre chemin !{nl}	드.. 드디어! 구조대가 온 건가?{nl}뭐야! 애송이 혼자잖아? 뭘 봐? 그냥 뚜껑 닫고 갈 길 가버려!{nl}				숨어있는 남자
QUEST_LV_0100_20150317_000008	Qu'est-ce que ce papier que vous tenez ? Il me dit quelque chose... Faites voir ! Que faites-vous ?{nl}Hé, c'est un adulte qui vous parle !	그런데 네가 들고 있는 그 종이.. 글귀가 어째 낯이 익은데? {nl}이리 줘봐! 뭐해? 어른이 말씀하시는데 냉큼 내놓지 않고!				숨어있는 남자
QUEST_LV_0100_20150317_000009	Ce papier, il est à moi ! Je ne le donnerai plus jamais !! Ce n'est... pas quelque chose dont vous{nl}avez besoin - je vais simplement le déchirer. Voilà.	이건!! 내 것이잖아?! 다시 못 줘!! {nl}너한텐 절대로 필요 없는 거니까, 다 찢어버릴 거야!!				숨어있는 남자
QUEST_LV_0100_20150317_000010	Pff, c'est nul...	쳇, 싱겁긴..				숨어있는 남자
QUEST_LV_0100_20150317_000011	Après la disparition de toutes les déesses, ces rêves ont été l'une des premières choses à surgir.{nl}Peut-être que l'une de ces personnes sera celle qui ramènera les déesses.	여신들께서 전부 사라지시고 난 뒤에 처음으로 나타난 징후 아닙니까.{nl}어쩌면 그 많은 사람중에 누군가가 여신을 돌아오게 할지도 모르잖습니까?				경계병
QUEST_LV_0100_20150317_000012	Soldat Blak	병사 블락				
QUEST_LV_0100_20150317_000013	Attention ! Des monstres attaquent, tous les civils doivent évacuer ! Que font ces civils dans la{nl}zone militaire, d'ailleurs ?{nl}	경고합니다! {nl}몬스터가 습격 중이니 민간인은 빨리 도망치세요!  {nl}아니, 근데 왜 군사 지역에 민간인이 들어온 거죠?{nl}				병사 블락
QUEST_LV_0100_20150317_000014	Ah, vous êtes donc le Révélateur ! Je suis désolé, je ne vous avais pas reconnu. Des monstres{nl}attaquent la base de ravitaillement en ce moment. Je dois sortir des rations importantes de la{nl}base. Aidez-moi, je vous prie !	아, 계시자님! 몰라 봬서 정말 죄송합니다.{nl}지금 보급기지 전체를 몬스터가 습격 중입니다.{nl}일단 중요한 식량만이라도 어떻게 빼 오고 싶은데.. 제발 도와주십시오!				병사 블락
