QUEST_LV_0300_20150323_000001	Nous avons été déployés ici depuis le quartier général pour soutenir les Chevaliers de Kaliss. Si{nl}vous voulez en savoir plus, rendez-vous à notre quartier général à la Place de Verkti.	칼리스 기사단을 지원하기 위해 본부에서 떨어져 나와 이런 곳에 있습니다.{nl}궁금한 것이 있다면 베르크티 광장에 있는 본부 쪽으로 알아보시기 바랍니다.				경비병 라일
QUEST_LV_0300_20150323_000002	J'ai été marchand toute ma vie. Après Medzio Diena, cet endroit semblait le plus sûr, je m'y suis{nl}donc installé... Mais je crois que je me trompais.	전 원래 행상인이었습죠.{nl}신수의 날 이후 여기가 제일 안전한 것 같아서 정착했는데.. 아니었나봅니다요.				상인 둘케
QUEST_LV_0300_20150323_000003	J'ai rencontré bien des Révélateurs au cours de mes voyages. À mon avis... ils ont quelque chose{nl}de particulier, et ce n'est pas seulement leur force.	여기저기 떠돌아다니면서 계시자라는 사람들을 많이 만나 봤습죠.{nl}제 생각엔.. 계시자님이 특별한 건 단지 강하기 때문만은 아닐 거라는 겁니다요.				상인 둘케
QUEST_LV_0300_20150323_000004	Je ne blâme ni les déesses ni les prêtres. Mais je trouve que c'est trop quand ils nous disent{nl}simplement de leur faire confiance et d'attendre.	여신과 사제님들을 탓하자는 건 아니야.{nl}하지만 무작정 믿고 기다리라는 건 좀 너무한 것 같아.{nl}				주민 에밀
QUEST_LV_0300_20150323_000005	Les sceaux du village sont censés être scellés — c'est bien pour cela qu'on les appelle des sceaux,{nl}alors où est le problème ? Les prêtres essaient juste de nous faire peur sans raison.	마을에 있는 봉인이 닫혀 있으니까 봉인이지 무슨 대수겠어?{nl}사제님들이 괜히 겁을 주는 거라고 생각해.				주민 에밀
QUEST_LV_0300_20150323_000006	Les prêtres ne veulent pas que tout le monde sache à quel point les sceaux du village sont{nl}importants. Ils croient qu'ils peuvent simplement prendre le fardeau sur eux, et qu'ensuite tout{nl}ira bien.	사제님들은 마을에 있는 봉인이 얼마나 중요한 건지 알게 되길 원치 않으세요.{nl}자신들이 희생하면 그걸로 된 거라면서요.				약사 티아나
QUEST_LV_0300_20150323_000007	Certains prêtres veulent être honnêtes et transparents avec les villageois. À ce rythme, si quelque{nl}chose de vraiment grave arrive...	사제님들이 마을사람들과 좀 더 솔직한 이야기를 나누었으면 하는 마음도 있어요.{nl}이러다 정말 큰일이라도 벌어진다면..				약사 티아나
QUEST_LV_0300_20150323_000008	L'énergie maléfique fait dépérir cette forêt en un lieu sans vie. C'est de loin le plus grand{nl}problème auquel ce village fait face.	사악한 기운은 숲을 썩게 만들어 생명이 살아갈 수 없는 땅으로 만들어 버립니다.{nl}저희 마을이 품고 있는 가장 큰 문제이기도 하지요.				사제 다지네
QUEST_LV_0300_20150323_000009	Déesse... Dites-moi que le sceau du village va vraiment bien...	여신이시여..{nl}마을의 봉인은 정말 괜찮은 걸까요..				사제 다지네
QUEST_LV_0300_20150323_000010	Les démons continueront de viser le sceau et d'attaquer sans fin. La Déesse Austeja étant toujours{nl}disparue, combien de temps pourrons-nous tenir...	앞으로도 봉인을 노리고 마족들이 끊임없이 공격해오겠지요.{nl}아우스테야 여신께서 부재중이신 상태로 언제까지 버틸 수 있을지..				사제 다지네
QUEST_LV_0300_20150323_000011	Ce fut une erreur de notre part d'essayer de gérer cela seuls. Désormais, nous dirons toute la{nl}vérité aux villageois et les inclurons dans une discussion réfléchie sur la façon de traiter l'affaire.	사제들끼리만 일을 해결하려고 했던 저희의 잘못도 큽니다.{nl}이제부턴 마을 사람들에게 모든 사실을 고하고 천천히 논의해 볼 생각입니다.				사제 다지네
QUEST_LV_0300_20150717_000012	Vérifier le Fonctionnement du Détecteur (1)	탐지기 작동 점검(1)				
QUEST_LV_0300_20150717_000013	Démons, Déesses et la Cité Pétrifiée (1)	마족과 여신들, 그리고 석화된 도시(1)				
QUEST_LV_0300_20150717_000014	Vérifier le Fonctionnement du Détecteur (2)	탐지기 작동 점검(2)				
QUEST_LV_0300_20150717_000015	Démons, Déesses et la Cité Pétrifiée (2)	마족과 여신들, 그리고 석화된 도시(2)				
