QUEST_LV_0500_20190419_000001	Je préférerais que quelqu'un d'autre s'en charge si c'est quelque chose qu'il faut absolument{nl}faire. Pourquoi faut-il toujours que ce soit moi ?	누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20190419_000002	Les démons et les monstres sont toujours en liberté... Au moins nous n'avons pas à craindre{nl}d'être détroussés par des bandits de grand chemin. Si tant est que nous en sortions vivants.	몬스터와 마족들이 득실거리니..{nl}적어도 강도를 만날 걱정은 안 해도 되겠어.{nl}살아서 돌아갈 수 있다면 말이지.				케도라 상단원 타다스
QUEST_LV_0500_20190419_000003	Vous partez en reconnaissance pendant des jours puis vous devez rédiger un rapport pendant{nl}des jours encore ! Peut-on accomplir quoi que ce soit dans cet état ?	정찰하는 데 며칠, 보고하는 데 또 며칠!{nl}이러면 일은 언제 끝낼 생각인 거지?				바바리안 볼케
QUEST_LV_0500_20190419_000004	Je suis ici pour assister Tadas. Je ne suis pas là pour nettoyer les dégâts de Wolke.	전 타다스님을 도우러 온 것이지.{nl}볼케님이 사고 치는 걸 처리하러 온 게 아닙니다.				케도라 상단원 니르기
QUEST_LV_0500_20190419_000005	J'ai trompé Kartas et l'ai empêché de voler la graine de l'Arbre divin. Si je pouvais me libérer de{nl}ces sceaux, je pourrais me rétablir par moi-même.	카르타스의 눈을 속여 신수의 씨앗을 빼앗기지 않았어요.{nl}이 속박을 풀어낸다면 씨앗의 능력으로 힘을 다시 회복할 수 있을 거예요.				여신 메데이나
QUEST_LV_0500_20190419_000006	Pourquoi Kartas irait-il jusqu'à m'emprisonner sous cette barrière... Connaît-il vraiment les{nl}propriétés de cette graine... ?	카르타스가 이 숲에 거대한 결계를 펼치면서까지 저를 쫓는 이유가 무엇일까요..{nl}정말 이 씨앗의 존재를 알고 있는 걸까요?				여신 메데이나
QUEST_LV_0500_20190419_000007	Je vais trouver Mlle Neringa dès que je me sentirai un peu mieux. Je suis sûre qu'elle connaîtra{nl}un moyen de sauver Maître Medeina de Kartas.	저는 몸을 추스리는대로 네링가님을 찾아가 보려 해요.{nl}네링가님이라면 분명 카르타스로부터 메데이나님을 구할 방법을 알고 계실 거에요.				큐폴 아스트라
QUEST_LV_0500_20190419_000008	Révélateur ! Il y a une barrière maléfique qui entoure la forêt, c'est dangereux ici ! Je vous en{nl}prie, vous devez partir !	아! 계시자님! 이 숲에는 사악한 결계가 펼쳐져 있어서 들어오시면 위험해요!{nl}어서 벗어나세요!				큐폴 아스트라
QUEST_LV_0500_20190419_000009	Nous sommes pris au piège dans la barrière de Kartas, et les pouvoirs de Maître Medeina ne{nl}suffisent pas à la briser. Nous devons l'aider à retrouver sa force...	카르타스가 숲 일대에 펼친 결계 때문에 지금 메데이나님의 힘으로는 이곳을 벗어날 수 없어요.{nl}메데이나님이 어서 기운을 차리시고 회복하셔야 할 텐데..				큐폴 일로나
QUEST_LV_0500_20190419_000010	Si Kartas nous trouve, nous serons en grand danger. Aidez Maître Medeina à se rétablir, je vous{nl}en prie.	카르타스가 이곳을 발견하면 큰일이에요.{nl}메데이나님이 회복할 수 있도록 계시자님께서 도와주세요.				큐폴 일로나
